Time,Open,High,Low,Close,Volume
09:15:00,3288.0,3298.300048828125,3270.10009765625,3292.89990234375,0
09:20:00,3291.39990234375,3300.0,3291.199951171875,3297.60009765625,8805
09:25:00,3295.0,3309.89990234375,3295.0,3303.0,14308
09:30:00,3301.699951171875,3308.0,3299.800048828125,3305.699951171875,12528
09:35:00,3305.300048828125,3305.89990234375,3300.0,3303.0,2292
09:40:00,3302.300048828125,3302.300048828125,3294.89990234375,3300.89990234375,4467
09:45:00,3300.89990234375,3301.800048828125,3296.0,3299.300048828125,2664
09:50:00,3299.10009765625,3299.800048828125,3298.39990234375,3298.800048828125,1158
09:55:00,3298.800048828125,3299.39990234375,3296.89990234375,3298.5,2833
10:00:00,3298.5,3298.5,3295.39990234375,3298.5,2219
10:05:00,3298.5,3299.89990234375,3297.699951171875,3298.300048828125,3704
10:10:00,3299.300048828125,3299.300048828125,3293.39990234375,3294.89990234375,1906
10:15:00,3295.89990234375,3296.5,3292.699951171875,3293.89990234375,1080
10:20:00,3293.89990234375,3294.300048828125,3293.39990234375,3294.0,1581
10:25:00,3293.800048828125,3296.800048828125,3293.800048828125,3296.800048828125,1096
10:30:00,3296.699951171875,3296.699951171875,3288.39990234375,3289.0,3706
10:35:00,3289.10009765625,3294.39990234375,3288.39990234375,3292.5,3353
10:40:00,3292.5,3293.699951171875,3291.800048828125,3293.699951171875,1445
10:45:00,3294.5,3296.39990234375,3290.0,3296.39990234375,3477
10:50:00,3294.699951171875,3299.0,3294.699951171875,3297.0,1805
10:55:00,3297.0,3298.10009765625,3293.5,3298.10009765625,3331
11:00:00,3298.10009765625,3298.800048828125,3297.0,3298.5,3093
11:05:00,3298.60009765625,3302.0,3297.39990234375,3302.0,11182
11:10:00,3302.0,3306.0,3298.0,3298.0,7649
11:15:00,3298.0,3298.5,3294.300048828125,3295.300048828125,1535
11:20:00,3294.60009765625,3299.5,3293.39990234375,3298.5,1808
11:25:00,3298.199951171875,3303.0,3298.199951171875,3302.5,1949
11:30:00,3303.0,3303.89990234375,3302.5,3303.5,1159
11:35:00,3303.5,3306.0,3303.5,3305.0,3853
11:40:00,3304.89990234375,3305.0,3302.5,3302.89990234375,2189
11:45:00,3302.60009765625,3302.89990234375,3299.5,3300.0,2215
11:50:00,3300.0,3300.0,3299.5,3299.800048828125,1501
11:55:00,3299.60009765625,3300.0,3299.60009765625,3299.89990234375,3162
12:00:00,3299.800048828125,3305.0,3298.89990234375,3305.0,4448
12:05:00,3304.89990234375,3310.0,3304.89990234375,3308.89990234375,3863
12:10:00,3308.89990234375,3308.89990234375,3306.0,3308.60009765625,1514
12:15:00,3308.60009765625,3308.800048828125,3304.89990234375,3307.39990234375,6627
12:20:00,3307.5,3309.0,3305.5,3309.0,3155
12:25:00,3309.0,3309.0,3308.89990234375,3309.0,1411
12:30:00,3309.0,3312.800048828125,3308.89990234375,3312.300048828125,9424
12:35:00,3312.300048828125,3313.89990234375,3310.0,3311.300048828125,3066
12:40:00,3311.300048828125,3311.5,3309.0,3310.60009765625,1497
12:45:00,3310.10009765625,3310.699951171875,3307.300048828125,3310.10009765625,1417
12:50:00,3310.10009765625,3310.60009765625,3300.5,3300.5,4081
12:55:00,3301.89990234375,3305.89990234375,3300.60009765625,3305.89990234375,2133
13:00:00,3306.10009765625,3309.199951171875,3302.5,3305.699951171875,3081
13:05:00,3307.199951171875,3308.699951171875,3305.300048828125,3307.199951171875,2535
13:10:00,3307.199951171875,3307.60009765625,3303.10009765625,3303.5,1958
13:15:00,3303.5,3307.0,3303.5,3305.39990234375,1191
13:20:00,3306.800048828125,3307.0,3305.89990234375,3307.0,1329
13:25:00,3306.5,3308.699951171875,3306.5,3308.39990234375,1456
13:30:00,3308.699951171875,3310.0,3308.300048828125,3309.699951171875,2636
13:35:00,3309.800048828125,3310.800048828125,3306.60009765625,3310.10009765625,2085
13:40:00,3310.60009765625,3310.800048828125,3309.300048828125,3310.800048828125,2123
13:45:00,3310.800048828125,3318.0,3310.10009765625,3317.5,7622
13:50:00,3317.300048828125,3317.89990234375,3316.0,3317.199951171875,3234
13:55:00,3317.800048828125,3317.89990234375,3315.89990234375,3316.300048828125,1804
14:00:00,3316.10009765625,3316.300048828125,3297.300048828125,3297.300048828125,9291
14:05:00,3297.10009765625,3304.89990234375,3295.300048828125,3300.0,4404
14:10:00,3299.699951171875,3300.0,3295.800048828125,3297.0,2383
14:15:00,3296.89990234375,3299.89990234375,3296.89990234375,3299.10009765625,2229
14:20:00,3298.699951171875,3304.89990234375,3297.0,3304.800048828125,2776
14:25:00,3303.89990234375,3304.89990234375,3295.699951171875,3296.5,6248
14:30:00,3297.300048828125,3302.800048828125,3295.0,3301.5,2543
14:35:00,3300.89990234375,3300.89990234375,3298.10009765625,3299.5,2601
14:40:00,3299.5,3302.800048828125,3299.5,3301.300048828125,2648
14:45:00,3301.300048828125,3306.60009765625,3301.300048828125,3306.0,2076
14:50:00,3306.0,3307.39990234375,3303.60009765625,3304.699951171875,3158
14:55:00,3304.800048828125,3304.800048828125,3300.199951171875,3302.699951171875,2545
15:00:00,3302.60009765625,3303.800048828125,3302.39990234375,3303.699951171875,6951
15:05:00,3303.699951171875,3303.800048828125,3298.10009765625,3298.10009765625,6295
15:10:00,3298.10009765625,3298.89990234375,3296.0,3296.39990234375,8167
15:15:00,3296.5,3298.60009765625,3296.300048828125,3298.10009765625,5398
15:20:00,3297.39990234375,3298.5,3292.699951171875,3297.699951171875,8583
15:25:00,3297.699951171875,3299.0,3292.300048828125,3298.60009765625,7932
